Site	year	DOY	time	S_dn	Rn	G	H	LE	T_A1	u	T_S	T_C	T_R1	RH	ea	LAI	h_C	f_c	VZA	T_A0	T_R0
1	1990	209	0.5	0	-60	-87	12	-40	293.75	1.56	290.68	290.08	289.59	52	12.61139746	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	1.5	0	-57	-85	18	-45	292.67	2.11	290.1	289.74	289.12	58	13.15634245	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	2.5	0	-47	-77	17	-48	293.2	2	290.54	290.12	289.51	55	12.89308837	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	3.5	0	-46	-69	15	-38	292.85	1.95	290.84	290.4	289.8	57	13.0749701	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	4.5	0	-59	-71	10	-22	293.33	1.56	289.81	290.53	289.19	67	15.83305362	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	5.5	9	-53	-69	5	-21	292.7	1.36	289.21	289.43	288.46	72	16.36250954	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	6.5	137	23	-39	-7	-55	293.13	1.33	290.32	291.49	289.82	72	16.8051768	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	7.5	342	162	29	-44	-90	295.69	0.35	296.08	293.8	294.17	60	16.38724526	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	8.5	554	307	102	-62	-143	297.71	0.5	304.05	295.85	299.8	48	14.80896697	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	9.5	743	429	161	-103	-165	299.95	1.77	311.49	299	305.45	39	13.74410488	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	10.5	882	517	188	-118	-211	301.59	3.26	315.4	301.55	308.72	33	12.8013864	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	11.5	966	568	199	-138	-231	302.42	3.04	323.14	302.86	313.96	29	11.80456049	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	12.5	993	584	184	-178	-222	303.53	4.13	319.3	305.01	312.27	26	11.28208632	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	13.5	964	563	158	-177	-227	304.42	4.07	324.96	306.3	316.21	22	10.04472697	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	14.5	872	505	112	-161	-233	304.78	5.32	324.94	307.01	316.44	21	9.786631023	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	15.5	725	408	78	-125	-205	304.79	4.82	322.69	306.22	314.78	20	9.325900184	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	16.5	537	279	38	-94	-147	304.64	5.03	317.62	304.89	311.19	20	9.246687283	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	17.5	326	130	-22	-47	-104	304.1	4.67	310.91	303.07	306.42	20	8.96635867	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	18.5	119	-13	-64	42	-93	302.93	5.5	303.3	300.87	300.97	20	8.384291571	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	19.5	6	-74	-94	48	-68	300.82	3.83	298.25	298.16	296.94	21	7.788442712	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	20.5	0	-71	-97	29	-55	297.6	2.52	295.49	294.49	294.02	30	9.194816456	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	21.5	0	-66	-93	27	-54	295.55	2.41	293.87	292.73	292.44	39	10.56139235	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	22.5	0	-63	-86	54	-77	296.24	2.95	293.26	293.28	292.24	40	11.29550034	0.5	0.5	0.28	0	295.69	294.17
1	1990	209	23.5	0	-60	-84	32	-56	295.21	2.56	292.37	292.31	291.37	41	10.87534421	0.5	0.5	0.28	0	295.69	294.17
1	1990	210	0.5	0	-44	-73	16	-46	294.46	2.32	292.99	292.28	291.74	44	11.14763905	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	1.5	0	-57	-74	19	-37	293.55	2.14	291.54	290.94	290.41	51	12.21709238	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	2.5	0	-57	-76	29	-48	293.7	2.58	290.63	290.82	289.8	52	12.57255163	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	3.5	0	-57	-74	31	-48	293.17	2.53	290.18	290.41	289.39	56	13.10313235	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	4.5	0	-54	-72	44	-61	292.47	3.97	289.92	290.38	289.22	64	14.3377439	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	5.5	8	-50	-69	28	-48	291.97	3.29	289.51	289.7	288.74	65	14.11439628	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	6.5	133	23	-40	-9	-53	292.67	1.62	290.46	291.13	289.8	67	15.19784387	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	7.5	338	162	27	-51	-84	295.6	0.41	296.4	293.88	294.39	57	15.4829116	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	8.5	548	304	100	-74	-131	298.25	0.54	305.05	296.88	300.75	49	15.61327615	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	9.5	732	423	155	-115	-153	300.61	2.16	312.8	300.07	306.62	42	15.38650555	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	10.5	872	514	180	-171	-163	301.57	4.08	316.51	302.25	309.64	41	15.88625477	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	11.5	956	568	189	-179	-201	302.37	3.94	327.3	303.41	316.73	39	15.8292548	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	12.5	990	588	183	-205	-199	303.6	3.83	332.66	305.39	320.71	36	15.68418396	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	13.5	968	568	163	-193	-211	304.17	2.79	334.14	306.73	322.06	32	14.40363852	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	14.5	554	294	62	-122	-110	304.14	2.67	323.09	305.23	314.7	30	13.48029963	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	15.5	569	302	81	-99	-121	304.64	1.82	323.99	305.65	315.4	27	12.48302783	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	16.5	218	81	-23	-20	-84	303.66	2.53	311.66	302.02	306.54	29	12.678008	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	17.5	362	166	-7	-35	-138	303.85	3.77	313.26	303.14	307.91	29	12.81670629	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	18.5	59	-33	-53	16	-37	302.35	1.91	303.89	299.23	300.8	33	13.37849588	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	19.5	2	-40	-95	9999	9999	297.07	9.95	298.76	296.08	296.58	39	11.57884242	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	20.5	0	-46	-88	41	-83	296.08	5.98	296.83	294.79	294.96	42	11.74587686	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	21.5	0	-50	-78	40	-68	296.6	3.72	295.74	294.79	294.28	41	11.8326462	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	22.5	0	-57	-84	127	-154	294.39	7.88	293.63	292.99	292.38	53	13.37027366	0.5	0.5	0.28	0	295.6	294.39
1	1990	210	23.5	0	-58	-85	30	-57	293.95	6.2	292.34	292.29	291.34	55	13.50444162	0.5	0.5	0.28	0	295.6	294.39
1	1990	211	0.5	0	-60	-81	25	-46	293	3.45	291.22	291.08	290.25	58	13.42881414	0.5	0.5	0.28	0	294.27	293.24
1	1990	211	1.5	0	-52	-75	7	-30	291.89	1.1	290.78	289.39	289.42	64	13.82788711	0.5	0.5	0.28	0	294.27	293.24
1	1990	211	2.5	0	-53	-70	6	-23	292.17	1.06	290.19	288.92	288.91	64	14.07200163	0.5	0.5	0.28	0	294.27	293.24
1	1990	211	3.5	0	-56	-74	12	-30	291.57	1.78	289	288.23	287.94	66	13.97700488	0.5	0.5	0.28	0	294.27	293.24
1	1990	211	4.5	0	-55	-74	8	-28	290.6	1.45	288.28	287.34	287.2	72	14.34442557	0.5	0.5	0.28	0	294.27	293.24
1	1990	211	5.5	7	-39	-63	3	-27	291.57	0.95	289.15	287.89	287.92	68	14.40055048	0.5	0.5	0.28	0	294.27	293.24
1	1990	211	6.5	85	6	-44	20	-69	291.2	2.2	290.51	289.63	289.34	70	14.48357375	0.5	0.5	0.28	0	294.27	293.24
1	1990	211	7.5	183	88	-5	-65	-28	294.27	2.37	295.24	292.57	293.24	63	15.77626432	0.5	0.5	0.28	0	294.27	293.24
1	1990	211	8.5	398	222	57	-42	-122	295.86	2.93	302.74	295.07	298.72	54	14.90163167	0.5	0.5	0.28	0	294.27	293.24
1	1990	211	9.5	455	257	71	-64	-122	296.74	2.99	306.64	296.18	301.51	50	14.55248409	0.5	0.5	0.28	0	294.27	293.24
1	1990	211	10.5	566	329	102	-105	-122	298.17	3.49	312.26	298.21	305.67	48	15.22181862	0.5	0.5	0.28	0	294.27	293.24
1	1990	211	11.5	607	355	99	-105	-151	298.42	3.85	314.96	298.86	307.56	47	15.12850857	0.5	0.5	0.28	0	294.27	293.24
